硬约束（必须遵守，否则排不出来）
#	规则	说明
H1	每天 4 岗	白1、白2、夜1、夜2 各一人
H2	同天不重复	同一人同天最多一个岗
H3	夜班→次日出	上了夜班第二天强制休息
H4	不可排日期	勾选的不参与当天任何排班
H5	不上白/不上夜	分开勾选，按类型屏蔽
H6	夜班间隔 ≥4天	两个夜班之间至少间隔 4 天
H7	白→夜不邻	白班次日不能排夜班
H8	只白班	dayOnly 不排夜班，白班 1-3 个
H9	只夜班	nightOnly 不排白班，夜班 1-3 个
H10	普通上限	白≤2 夜≤2 总≤3
软约束（优先但不强制）
#	规则	说明
S1	2夜不白	已有 2 个夜班的人，优先不排白班
S2	偏好	2白1夜 / 1白2夜 偏好优先匹配
S3	公平	总班次数少的优先排
S4	轮休周末	上周六日上班的人本周优先不排周末
S5	夜1夜2均衡	同一人两个夜班尽量一高一低
S6	跨周轮换	上周夜1→本周优先夜2，上周夜2→本周优先夜1
S7	上周2夜→本周1夜	跨周削峰
S8	上周六夜→本周六禁夜	公平轮休
